Date,Hive Temperature,Hive Humidity,Red Luminous Intensity,Green Luminous Intensity,Blue Luminous Intensity,White Luminous Intensity,IR Luminous Intensity,Sound Intensity,Hive Weight,Temperature,Humidity,Pressure,Dew Point,Vapour-Pressure Deficit,Humidity Deficit,Underbasket Weight,Bee Flow
2023-06-16 05:30:51,31.0919,59.5725,0.0,18.0,15.0,24.0,2228.0,999.0,39.6972,17.6,100.0,100.6,17.6,0.0,0,0.0623109,64.0
2023-06-16 06:32:35,30.0546,60.8244,0.0,0.0,0.0,4.0,2106.0,629.0,39.7143,19.5,100.0,100.6,19.4,0.0,0,0.0623109,327.0
2023-06-16 07:34:19,28.5238,61.2641,0.0,0.0,0.0,1.0,1285.0,1434.0,39.64,19.4,100.0,100.7,19.3,0.0,0,0.0615545,400.0
2023-06-16 08:36:03,25.9356,61.5817,0.0,0.0,0.0,0.0,73.0,780.0,39.5771,20.4,100.0,100.7,20.3,0.0,0,0.0529502,508.0
2023-06-16 09:37:47,26.3888,65.6427,0.0,0.0,0.0,0.0,6.0,445.0,39.5086,20.9,100.0,100.8,20.7,0.0,0,0.0494516,513.0
2023-06-16 10:39:31,31.2731,68.0427,1.0,0.0,0.0,0.0,1.0,902.0,39.3315,23.1,81.6,100.7,19.7,5.2,3,0.0409417,329.0
2023-06-16 11:41:15,31.4242,68.7023,45.0,1.0,0.0,5.0,1.0,744.0,39.36,23.9,80.4,100.8,20.2,5.8,4,0.0296899,831.0
2023-06-16 12:42:59,30.689,69.3801,801.0,52.0,32.0,100.0,0.0,568.0,38.9828,23.8,65.2,100.8,16.8,10.2,6,0.0270424,1012.0
2023-06-16 13:44:43,36.1273,69.1847,748.0,1060.0,610.0,1882.0,0.0,411.0,39.3429,25.5,68.9,100.8,19.3,10.2,6,0.035174,225.0
2023-06-16 14:46:27,35.2209,64.7634,852.0,941.0,564.0,1720.0,14.0,274.0,39.2914,26.5,55.4,100.8,16.8,15.4,10,0.0327156,351.0
2023-06-16 15:48:11,35.6338,62.0336,298.0,1077.0,647.0,2036.0,231.0,462.0,39.52,24.8,51.4,100.8,14.1,15.2,10,0.0312973,163.0
2023-06-16 16:49:55,34.8886,62.4427,286.0,320.0,234.0,510.0,4461.0,414.0,39.5829,24.6,49.3,100.7,13.2,15.6,10,0.0303517,320.0
2023-06-16 17:51:39,34.7375,56.6412,267.0,304.0,223.0,492.0,3800.0,517.0,39.4628,26.3,45.1,100.7,13.4,18.8,12,0.0333775,96.0
2023-06-16 18:53:23,34.7677,55.5542,172.0,310.0,225.0,503.0,4082.0,436.0,39.7372,26.0,49.7,100.7,14.7,16.9,11,0.0329992,167.0
2023-06-16 19:55:07,32.2399,55.0962,12.0,205.0,142.0,345.0,2415.0,3419.0,40.0686,23.9,56.4,100.8,14.7,13.0,8,0.0312027,34.0
2023-06-16 20:56:51,31.0818,57.313,0.0,19.0,15.0,25.0,2280.0,1226.0,40.1714,18.2,93.7,100.9,17.1,1.3,1,0.0322428,0.0
2023-06-16 21:58:35,30.1956,56.7389,0.0,1.0,0.0,2.0,2102.0,722.0,40.1771,18.8,85.9,101.0,16.3,3.1,2,0.0348903,0.0
2023-06-16 23:00:19,28.0706,56.4519,0.0,0.0,0.0,0.0,1268.0,677.0,40.0858,18.2,92.8,101.0,16.9,1.5,1,0.0330938,0.0
2023-06-17 00:02:03,26.9628,56.2687,0.0,0.0,0.0,0.0,78.0,439.0,40.0228,17.5,100.0,100.9,17.4,0.0,0,0.0338502,0.0
2023-06-17 01:03:47,26.6607,55.9206,0.0,0.0,0.0,0.0,6.0,622.0,39.9543,17.6,100.0,100.9,17.5,0.0,0,0.0338502,0.0
