Date,Hive Temperature,Hive Humidity,Red Luminous Intensity,Green Luminous Intensity,Blue Luminous Intensity,White Luminous Intensity,IR Luminous Intensity,Sound Intensity,Hive Weight,Temperature,Humidity,Pressure,Solar Radiation,Leaf Wetting,Dew Point,Vapour-Pressure Deficit,Humidity Deficit,Underbasket Weight,Bee Flow
2023-06-14 11:36:03,27.3153,63.8229,241.0,280.0,191.0,460.0,1291.0,300.0,41.6286,26.6,66.0,100.9,52.1,0.0,19.6,11.9,7,0.0590962,1329.0
2023-06-14 11:58:50,27.8088,63.9573,336.0,378.0,259.0,627.0,1785.0,328.0,41.6343,26.2,69.8,100.9,49.3,0.0,20.1,10.2,6,0.0590962,2131.0
2023-06-14 15:04:49,26.5499,65.3985,184.0,215.0,152.0,335.0,1028.0,221.0,41.7486,25.4,74.6,100.8,66.5,0.0,20.5,8.3,5,0.047655,1129.0
2023-06-14 15:25:59,25.3212,67.2427,181.0,203.0,137.0,355.0,915.0,178.0,41.7885,24.6,78.4,100.8,26.9,0.0,20.4,6.7,4,0.047655,892.0
2023-06-14 17:22:38,24.5055,68.7695,156.0,172.0,118.0,290.0,854.0,231.0,41.9771,24.8,76.2,100.8,22.5,0.0,20.2,7.5,5,0.0434948,953.0
2023-06-14 19:19:17,27.7785,70.5771,34.0,40.0,27.0,61.0,188.0,564.0,42.2458,22.5,99.3,100.8,3.5,11.0,22.3,0.2,0,0.0348904,161.0
2023-06-14 21:15:56,23.73,70.4611,0.0,0.0,0.0,0.0,0.0,289.0,42.4,21.3,100.0,100.9,0.0,86.0,21.2,0.0,0,0.0300681,0.0
2023-06-14 21:34:52,28.4029,73.1786,0.0,0.0,0.0,0.0,0.0,302.0,42.3601,21.3,100.0,100.9,0.0,86.0,21.2,0.0,0,0.0279879,0.0
2023-06-14 23:39:06,35.1001,68.5863,0.0,0.0,0.0,0.0,0.0,694.0,42.4,19.7,100.0,100.9,0.0,95.0,19.6,0.0,0,0.0197617,0.0
2023-06-15 01:43:20,33.7707,66.9313,0.0,0.0,0.0,0.0,0.0,320.0,42.32,18.9,100.0,100.8,0.0,93.0,18.8,0.0,0,0.0147504,0.0
2023-06-15 03:47:34,31.6558,63.2672,0.0,0.0,0.0,0.0,0.0,303.0,42.297,18.5,100.0,100.8,0.0,94.0,18.4,0.0,0,0.0127648,556.0
2023-06-15 05:51:48,31.5551,63.1023,18.0,18.0,20.0,27.0,79.0,322.0,42.2514,17.2,100.0,100.8,3.5,84.0,17.1,0.0,0,0.0135212,768.0
2023-06-15 06:09:43,31.253,62.0519,41.0,51.0,31.0,81.0,235.0,383.0,42.2458,17.2,100.0,100.8,3.5,84.0,17.1,0.0,0,0.0132375,669.0
2023-06-15 08:53:13,28.9568,62.5221,1237.0,1441.0,874.0,2558.0,4961.0,308.0,42.0343,27.2,56.5,100.8,63.3,0.0,17.8,15.7,10,0.0597578,781.0
2023-06-15 11:36:43,29.4503,65.4168,324.0,340.0,221.0,557.0,1516.0,237.0,41.7429,26.4,56.9,100.7,27.0,0.0,17.1,14.9,9,0.068646,759.0
2023-06-15 11:58:39,30.1956,66.3023,167.0,202.0,136.0,343.0,887.0,276.0,41.7658,25.3,64.4,100.7,124.4,0.0,18.0,11.5,7,0.068646,1545.0
2023-06-15 15:04:38,26.3283,67.2122,327.0,346.0,266.0,541.0,2162.0,209.0,41.9657,24.8,80.4,100.7,90.5,0.0,21.1,6.1,4,0.05191,1181.0
2023-06-15 15:25:39,25.432,69.1298,94.0,105.0,68.0,183.0,472.0,197.0,42.1029,22.9,85.4,100.7,10.2,0.0,20.2,4.1,3,0.05191,1183.0
2023-06-15 17:22:18,26.7614,71.2122,49.0,55.0,32.0,84.0,303.0,254.0,42.5372,18.8,100.0,100.7,21.7,90.0,18.8,0.0,0,0.029879,684.0
2023-06-15 19:18:57,27.1441,72.1649,43.0,50.0,34.0,75.0,255.0,354.0,42.5999,19.2,100.0,100.8,7.9,39.0,19.1,0.0,0,0.0265696,105.0
2023-06-15 21:15:36,26.8923,71.6092,0.0,0.0,0.0,0.0,0.0,446.0,42.6171,17.4,100.0,100.8,0.0,76.0,17.3,0.0,0,0.0240166,0.0
2023-06-15 21:33:47,30.4876,73.6489,0.0,0.0,0.0,0.0,0.0,375.0,42.5944,17.4,100.0,100.8,0.0,76.0,17.3,0.0,0,0.0210855,0.0
2023-06-15 23:38:01,34.8886,68.8122,0.0,0.0,0.0,0.0,0.0,390.0,42.5542,18.0,100.0,100.9,0.0,20.0,17.9,0.0,0,0.0134266,0.0
2023-06-16 01:42:15,34.4052,68.0,0.0,0.0,0.0,0.0,0.0,403.0,42.5143,16.9,100.0,100.8,0.0,28.0,16.8,0.0,0,0.0162632,0.0
2023-06-16 03:46:29,32.5622,65.7221,0.0,0.0,0.0,0.0,0.0,550.0,42.4629,17.3,97.8,100.6,0.0,1.0,16.9,0.4,0,0.015034,140.0
2023-06-16 05:50:43,32.6629,65.5878,10.0,16.0,14.0,22.0,62.0,606.0,42.3942,18.4,87.4,100.6,0.9,0.0,16.2,2.7,2,0.0174924,87.0
2023-06-16 06:08:45,32.8241,66.0824,27.0,34.0,24.0,58.0,132.0,576.0,42.3885,18.4,87.4,100.6,0.9,0.0,16.2,2.7,2,0.0190053,191.0
2023-06-16 08:52:15,29.4906,66.6931,295.0,357.0,230.0,608.0,1421.0,427.0,42.1714,20.9,78.0,100.7,32.6,0.0,16.8,5.4,3,0.0421709,673.0
2023-06-16 11:35:45,29.4503,68.4702,305.0,372.0,247.0,620.0,1500.0,383.0,41.8114,24.3,58.3,100.7,49.3,0.0,15.5,12.6,8,0.0613654,1041.0
2023-06-16 11:58:19,28.4835,68.8977,231.0,262.0,177.0,458.0,1189.0,273.0,41.8114,24.5,58.1,100.7,37.8,0.0,15.6,12.9,8,0.0613654,1183.0
2023-06-16 15:04:18,27.2951,70.1557,314.0,305.0,277.0,464.0,2301.0,220.0,41.6686,26.6,43.2,100.7,118.4,0.0,13.1,19.8,12,0.0631618,476.0
2023-06-16 15:25:53,25.996,70.5221,176.0,176.0,144.0,328.0,1090.0,201.0,41.9885,25.9,43.0,100.7,117.0,0.0,12.3,19.0,12,0.0631618,546.0
2023-06-16 17:22:32,25.7442,71.5786,156.0,172.0,120.0,283.0,852.0,350.0,41.8629,26.6,42.2,100.7,64.5,0.0,12.7,20.2,13,0.0573942,380.0
2023-06-16 19:19:11,26.2478,71.5786,32.0,45.0,35.0,79.0,192.0,347.0,41.9943,23.8,50.5,100.8,11.7,0.0,12.8,14.6,9,0.0540848,88.0
2023-06-16 21:15:50,24.9486,71.6824,0.0,0.0,0.0,0.0,0.0,276.0,42.1429,18.0,72.5,100.9,0.0,0.0,12.9,5.7,4,0.0494516,0.0
2023-06-16 21:34:48,30.4675,74.4305,0.0,0.0,0.0,0.0,0.0,399.0,42.12,18.0,72.5,100.9,0.0,0.0,12.9,5.7,4,0.0424546,0.0
2023-06-16 23:39:02,35.4828,68.1588,0.0,0.0,0.0,0.0,0.0,632.0,42.0915,18.0,70.6,100.9,0.0,0.0,12.6,6.1,4,0.0399017,0.0
2023-06-17 01:43:16,36.1877,67.1878,0.0,0.0,0.0,0.0,0.0,564.0,42.0514,17.6,76.8,100.9,0.0,0.0,13.4,4.7,3,0.0400908,0.0
2023-06-17 03:47:30,34.1433,61.6916,0.0,0.0,0.0,0.0,0.0,513.0,42.0,16.8,76.3,100.8,0.0,0.0,12.6,4.5,3,0.0358358,150.0
2023-06-17 05:51:44,34.0728,61.2336,31.0,34.0,19.0,57.0,143.0,430.0,41.9372,17.6,74.8,100.9,3.3,0.0,13.1,5.1,3,0.0380106,228.0
2023-06-17 06:08:54,33.6297,59.2122,43.0,61.0,36.0,98.0,215.0,560.0,41.9258,17.6,74.8,100.9,3.3,0.0,13.1,5.1,3,0.0374432,512.0
2023-06-17 08:52:24,31.8472,57.3802,1155.0,1412.0,804.0,2472.0,4343.0,462.0,41.6114,24.2,54.1,100.9,52.8,0.0,14.3,13.9,9,0.0588124,1303.0
2023-06-17 11:35:54,29.2287,59.0412,541.0,573.0,428.0,967.0,3186.0,195.0,41.5257,27.0,39.2,101.0,108.7,0.0,11.9,21.7,14,0.0692134,954.0
2023-06-17 11:58:57,29.4201,59.7008,301.0,256.0,133.0,295.0,683.0,297.0,41.5315,26.5,41.3,101.0,109.1,0.0,12.3,20.4,13,0.0692134,971.0
2023-06-17 15:04:56,27.2146,62.5344,271.0,268.0,229.0,413.0,1979.0,261.0,41.6971,27.8,36.0,101.0,68.4,0.0,11.4,23.9,15,0.062689,1163.0
2023-06-17 15:26:23,25.7946,64.7023,259.0,279.0,234.0,423.0,1941.0,173.0,41.6742,28.4,31.8,101.0,90.8,0.0,10.1,26.4,16,0.062689,607.0
