Date,Hive Temperature,Hive Humidity,Red Luminous Intensity,Green Luminous Intensity,Blue Luminous Intensity,White Luminous Intensity,IR Luminous Intensity,Sound Intensity,Hive Weight,Temperature,Humidity,Pressure,Solar Radiation,Leaf Wetting,Dew Point,Vapour-Pressure Deficit
2022-07-21 07:02:36,25.2507,72.3481,847.0,1065.0,592.0,2350.0,945.0,318.0,2.54286,22.9,78.4,101.3,4.1,2,18.9,6.0
2022-07-21 09:22:35,36.0971,55.6397,2084.0,2594.0,1438.0,5776.0,2575.0,1565.0,2.67428,31.8,60.5,101.3,25.2,1,23.1,18.6
2022-07-21 12:06:57,37.0538,55.7252,1890.0,2416.0,1365.0,5359.0,2386.0,1684.0,2.67429,34.5,51.0,101.3,58.9,2,22.8,26.8
2022-07-21 15:46:56,37.9199,57.1969,1180.0,1545.0,874.0,3418.0,1602.0,5496.0,2.69143,34.0,59.0,101.2,46.2,2,24.7,21.9
2022-07-21 16:06:48,37.5272,56.8366,1112.0,1436.0,809.0,3155.0,1466.0,12662.0,2.69714,33.4,59.5,101.2,41.4,2,24.3,20.9
2022-07-21 18:56:48,33.1765,64.971,298.0,387.0,226.0,836.0,358.0,8752.0,2.69714,30.1,70.8,101.1,8.5,1,24.1,12.4
2022-07-21 21:46:48,29.6316,73.4962,0.0,0.0,0.0,0.0,0.0,552.0,2.67429,25.1,95.3,101.2,0.0,21,24.1,1.5
2022-07-21 22:05:47,29.4704,74.0214,0.0,0.0,0.0,0.0,0.0,235.0,2.69143,24.8,94.9,101.2,0.0,27,23.8,1.6
2022-07-22 00:15:47,28.5238,72.1893,0.0,0.0,0.0,0.0,0.0,85.0,2.68571,23.2,92.6,101.2,0.0,36,21.8,2.1
2022-07-22 02:25:47,28.272,72.8183,0.0,0.0,0.0,0.0,0.0,277.0,2.66286,23.1,94.0,101.2,0.0,34,21.9,1.7
2022-07-22 04:35:47,28.272,74.0031,0.0,0.0,0.0,0.0,0.0,101.0,2.66857,22.9,98.1,101.2,0.0,49,22.4,0.5
