Date,Hive Temperature,Hive Humidity,Red Luminous Intensity,Green Luminous Intensity,Blue Luminous Intensity,White Luminous Intensity,IR Luminous Intensity,Sound Intensity,Hive Weight,Temperature,Humidity,Pressure,Substrate Temperature,Dew Point,Vapour-Pressure Deficit
2022-07-21 07:02:14,24.6364,77.1298,1419.0,2056.0,1251.0,4402.0,1606.0,626.0,3.06857,22.2,81.2,101.2,26.0,18.7,5.0
2022-07-21 09:22:13,36.228,53.0137,2011.0,2708.0,1530.0,5798.0,2772.0,1966.0,3.06857,30.5,60.5,101.2,26.4,21.9,17.3
2022-07-21 12:06:40,36.8323,53.5206,1778.0,2480.0,1427.0,5295.0,2479.0,1390.0,3.06857,33.1,60.9,101.2,27.7,24.4,19.9
2022-07-21 15:46:39,37.225,55.145,1230.0,1698.0,981.0,3634.0,1701.0,1745.0,3.04571,34.0,63.9,101.1,28.9,26.0,19.2
2022-07-21 16:07:40,36.8222,57.7954,1135.0,1567.0,912.0,3368.0,1564.0,3441.0,3.05714,33.1,65.8,101.1,29.1,25.6,17.2
2022-07-21 18:57:40,32.8341,64.7084,314.0,432.0,254.0,904.0,403.0,1286.0,3.04572,29.2,79.3,101.1,29.3,25.1,8.4
2022-07-21 21:47:40,28.9165,74.8824,0.0,0.0,0.0,0.0,0.0,207.0,3.05714,24.7,100.0,101.1,28.8,24.5,0.0
2022-07-21 22:06:43,28.7655,75.4137,0.0,0.0,0.0,0.0,0.0,172.0,3.06857,24.5,100.0,101.1,28.6,24.4,0.0
2022-07-22 00:16:42,27.1642,76.226,0.0,0.0,0.0,0.0,0.0,379.0,3.05714,23.2,100.0,101.1,28.1,23.0,0.0
2022-07-22 02:26:41,26.8621,77.1908,0.0,0.0,0.0,0.0,0.0,52.0,3.06857,23.1,100.0,101.1,27.6,23.0,0.0
2022-07-22 04:36:40,26.9225,77.8443,0.0,0.0,0.0,0.0,0.0,64.0,3.07429,22.7,100.0,101.1,27.2,22.6,0.0
2022-07-22 06:46:39,28.0001,77.1053,200.0,270.0,163.0,585.0,228.0,297.0,3.07429,22.7,100.0,101.1,27.2,22.6,0.0
2022-07-23 04:37:05,28.2821,80.9221,1.0,0.0,0.0,0.0,0.0,92.0,3.05714,24.2,100.0,101.2,28.0,24.1,0.0
2022-07-23 06:47:04,28.977,79.6214,156.0,227.0,140.0,492.0,151.0,1028.0,3.08,24.4,100.0,101.2,27.8,24.3,0.0
2022-07-23 07:04:22,29.2489,79.6763,225.0,313.0,178.0,702.0,257.0,246.0,3.06286,24.4,100.0,101.2,27.8,24.3,0.0
2022-07-24 04:45:09,26.0363,86.6321,0.0,0.0,0.0,0.0,0.0,71.0,3.08571,22.7,100.0,101.2,27.4,22.6,0.0
2022-07-24 06:58:12,26.2679,85.3008,156.0,232.0,145.0,500.0,183.0,144.0,3.07429,22.7,100.0,101.2,27.4,22.6,0.0
2022-07-24 07:03:06,26.5801,86.1496,321.0,432.0,254.0,940.0,408.0,154.0,3.07429,22.7,100.0,101.2,27.4,22.6,0.0
2022-07-25 09:11:16,31.5249,78.0153,2029.0,2745.0,1526.0,5850.0,2491.0,454.0,2.98286,32.0,71.0,101.0,28.5,25.9,13.8
2022-07-25 11:31:16,34.4555,64.6168,1856.0,2504.0,1402.0,5310.0,2522.0,1779.0,3.00571,33.4,65.6,101.0,28.8,25.9,17.7
2022-07-25 11:59:27,35.1907,63.7435,1757.0,2374.0,1360.0,5068.0,2374.0,1021.0,3.0,33.5,64.8,101.0,29.1,25.8,18.2
2022-07-25 15:39:26,35.7245,63.2916,1230.0,1686.0,966.0,3594.0,1737.0,1486.0,2.95429,33.4,64.7,100.8,30.2,25.7,18.2
2022-07-25 16:03:20,35.4828,61.4718,1104.0,1517.0,883.0,3242.0,1549.0,1063.0,2.96,33.4,64.7,100.8,30.2,25.7,18.2
2022-07-25 18:53:20,32.8039,67.5481,315.0,431.0,264.0,925.0,432.0,409.0,2.96571,29.8,82.2,100.7,30.3,26.2,7.5
2022-07-25 21:43:20,28.3526,77.2275,1.0,0.0,0.0,0.0,0.0,543.0,2.98857,25.0,100.0,100.7,29.6,24.9,0.0
2022-07-25 21:58:37,28.0102,77.9908,1.0,0.0,0.0,0.0,0.0,95.0,2.99429,24.5,100.0,100.8,29.4,24.4,0.0
2022-07-26 00:08:36,27.2347,80.4824,0.0,0.0,0.0,0.0,0.0,79.0,3.00571,24.4,100.0,100.8,28.8,24.3,0.0
2022-07-26 02:18:35,27.2347,82.6626,0.0,0.0,0.0,0.0,0.0,67.0,3.02286,24.6,100.0,100.8,28.4,24.5,0.0
2022-07-26 04:28:34,26.56,83.4748,0.0,0.0,0.0,0.0,0.0,138.0,3.01143,24.6,100.0,100.8,28.4,24.5,0.0
2022-07-27 02:18:27,25.8953,79.426,0.0,0.0,0.0,0.0,0.0,48.0,2.97143,23.2,94.3,100.5,27.8,22.1,1.6
2022-07-27 04:28:26,25.3414,80.1954,0.0,0.0,0.0,0.0,0.0,62.0,2.97143,22.7,100.0,100.5,27.5,22.6,0.0
2022-07-27 06:38:25,25.4421,81.8443,91.0,121.0,82.0,275.0,97.0,125.0,2.97714,22.8,100.0,100.5,27.4,22.7,0.0
2022-07-27 06:51:57,25.7039,82.1069,205.0,276.0,165.0,605.0,252.0,138.0,2.98857,22.8,100.0,100.5,27.4,22.7,0.0
2022-07-27 09:11:57,31.1523,75.3405,1941.0,2564.0,1421.0,5458.0,2489.0,440.0,2.95428,31.9,75.4,100.5,28.9,26.8,11.7
2022-07-27 11:31:57,34.4858,63.542,1859.0,2493.0,1399.0,5311.0,2532.0,1735.0,2.94857,33.2,68.9,100.5,--,26.6,15.9
2022-07-27 11:59:16,35.0699,60.7206,1702.0,2328.0,1330.0,4962.0,2362.0,1543.0,2.94857,33.6,66.8,100.5,--,26.4,17.2
2022-07-27 15:39:15,37.9501,55.8412,1436.0,2009.0,1199.0,4347.0,1858.0,896.0,2.93714,33.2,70.1,100.4,29.7,26.8,15.2
2022-07-27 16:02:16,37.3962,55.9878,1303.0,1842.0,1081.0,3943.0,1688.0,965.0,2.94286,33.2,70.1,100.4,29.7,26.8,15.2
2022-07-27 18:52:16,33.2168,62.229,378.0,541.0,324.0,1161.0,480.0,1176.0,2.93714,29.3,80.1,100.4,29.8,25.4,8.1
2022-07-27 21:42:16,28.7453,73.2397,1.0,0.0,0.0,0.0,0.0,96.0,2.94286,25.6,100.0,100.5,--,25.4,0.0
2022-07-27 21:58:40,28.3425,74.3023,1.0,0.0,0.0,0.0,0.0,228.0,2.94286,25.4,100.0,100.5,29.9,25.3,0.0
2022-07-28 00:08:39,26.7513,78.2779,0.0,0.0,0.0,0.0,0.0,67.0,2.94857,24.2,100.0,100.5,29.7,24.1,0.0
2022-07-28 02:18:38,25.996,80.1832,0.0,0.0,0.0,0.0,0.0,83.0,2.94857,23.3,100.0,100.5,29.5,23.2,0.0
2022-07-28 04:28:37,25.6234,81.7466,0.0,0.0,0.0,0.0,0.0,51.0,2.98286,23.1,100.0,100.5,29.3,23.0,0.0
2022-07-28 06:38:36,25.3716,82.5832,104.0,151.0,97.0,344.0,113.0,964.0,2.97714,22.6,100.0,100.6,29.0,22.5,0.0
2022-07-28 06:51:04,25.714,82.4,257.0,372.0,225.0,795.0,277.0,363.0,2.97714,23.3,100.0,100.6,29.0,23.2,0.0
2022-07-28 09:11:04,31.2329,74.7542,2176.0,2970.0,1666.0,6324.0,2642.0,254.0,2.91429,30.7,72.6,100.7,--,25.1,12.1
2022-07-28 11:31:04,35.231,58.5771,2139.0,2939.0,1754.0,6320.0,2689.0,1036.0,2.92,33.7,63.0,100.7,28.6,25.5,19.4
2022-07-28 12:00:26,35.7648,58.687,1965.0,2767.0,1604.0,5950.0,2515.0,1031.0,2.92,34.3,63.7,100.7,28.6,26.3,19.7
2022-07-28 15:40:25,39.0479,51.542,1441.0,2020.0,1182.0,4342.0,1861.0,1227.0,2.89714,34.6,72.0,100.7,29.3,28.6,15.5
2022-07-28 16:03:05,38.5846,53.2397,1309.0,1806.0,1083.0,3939.0,1684.0,1253.0,2.91429,34.8,70.5,100.6,29.4,28.4,16.4
2022-07-28 18:53:05,33.6096,58.7481,366.0,515.0,300.0,1112.0,457.0,822.0,2.90286,29.5,80.2,100.7,29.9,25.5,8.1
2022-07-28 21:43:05,28.4936,72.0916,1.0,0.0,0.0,0.0,0.0,157.0,2.92571,25.1,99.1,100.8,30.0,24.8,0.3
2022-07-28 21:59:31,28.0505,72.9527,1.0,0.0,0.0,0.0,0.0,459.0,2.92,25.1,98.2,100.8,30.0,24.7,0.6
2022-07-29 00:09:30,26.8017,76.1038,1.0,0.0,0.0,0.0,0.0,162.0,2.91429,24.4,100.0,100.9,29.8,24.2,0.0
2022-07-29 02:19:29,25.8651,79.029,0.0,0.0,0.0,0.0,0.0,339.0,2.93143,22.7,100.0,100.9,29.6,22.6,0.0
2022-07-29 04:29:28,24.9788,80.2321,0.0,0.0,0.0,0.0,0.0,45.0,2.93714,21.9,100.0,100.8,29.3,21.8,0.0
2022-07-29 06:39:27,24.6666,82.1008,113.0,150.0,101.0,346.0,117.0,174.0,2.94286,22.1,100.0,100.9,29.0,22.0,0.0
2022-07-29 06:51:47,25.3112,82.3817,259.0,369.0,233.0,808.0,297.0,145.0,2.94286,22.7,100.0,100.9,28.9,22.6,0.0
2022-07-29 09:11:47,30.7092,75.713,2200.0,2990.0,1678.0,6399.0,2706.0,500.0,2.91429,29.4,82.7,101.0,28.7,25.9,7.1
2022-07-29 11:31:47,34.667,60.9771,2174.0,2994.0,1695.0,6406.0,2784.0,1177.0,2.90857,33.1,66.9,101.0,28.7,26.0,16.8
2022-07-29 11:59:21,35.2008,58.1863,1995.0,2797.0,1632.0,5998.0,2554.0,1386.0,2.90857,33.5,69.7,101.0,28.8,27.0,15.7
2022-07-29 15:39:20,37.9199,50.2168,1432.0,2016.0,1180.0,4333.0,1889.0,2112.0,2.91429,33.1,65.4,100.9,28.7,25.6,17.6
2022-07-29 16:02:02,37.1143,53.3008,1315.0,1848.0,1094.0,3980.0,1741.0,937.0,2.90286,33.2,68.9,100.9,28.7,26.5,15.8
2022-07-29 18:52:02,32.8039,57.8565,366.0,520.0,327.0,1134.0,438.0,745.0,2.90286,28.9,72.2,100.9,29.2,23.3,11.1
2022-07-29 21:42:02,27.9195,71.371,1.0,0.0,0.0,0.0,0.0,152.0,2.92,24.1,100.0,101.0,29.3,23.9,0.0
2022-07-29 21:58:28,27.567,72.3298,1.0,0.0,0.0,0.0,0.0,144.0,2.92571,24.0,100.0,101.0,29.3,23.8,0.0
