Date,Hive Temperature,Hive Humidity,Red Luminous Intensity,Green Luminous Intensity,Blue Luminous Intensity,White Luminous Intensity,IR Luminous Intensity,Sound Intensity,Hive Weight,Temperature,Humidity,Pressure,Solar Radiation,Leaf Wetting,Dew Point,Vapour-Pressure Deficit
2022-07-21 07:04:14,25.3011,72.9405,1430.0,2036.0,1152.0,4309.0,1693.0,259.0,2.73143,22.9,78.4,101.3,4.1,2,18.9,6.0
2022-07-21 09:24:13,36.2683,49.0015,2921.0,4046.0,2246.0,8647.0,3986.0,1646.0,2.62286,31.8,60.5,101.3,25.2,1,23.1,18.6
2022-07-21 12:07:20,36.933,51.1878,2774.0,3876.0,2198.0,8279.0,3750.0,844.0,2.61714,34.5,51.0,101.3,58.9,2,22.8,26.8
2022-07-21 15:47:20,36.9632,55.2427,1949.0,2708.0,1548.0,5821.0,2727.0,1535.0,2.64571,34.0,59.0,101.2,46.2,2,24.7,21.9
2022-07-21 16:08:16,36.3086,57.0748,1826.0,2500.0,1424.0,5386.0,2484.0,1700.0,2.64,33.4,59.5,101.2,41.4,2,24.3,20.9
2022-07-21 18:58:15,32.5924,65.0321,405.0,634.0,394.0,1428.0,580.0,1296.0,2.68571,30.1,70.8,101.1,8.5,1,24.1,12.4
2022-07-21 21:48:14,29.1683,73.8626,0.0,0.0,0.0,1.0,0.0,242.0,2.72571,24.9,95.8,101.2,0.0,25,24.0,1.3
2022-07-21 22:07:12,29.0374,74.5527,0.0,0.0,0.0,0.0,0.0,256.0,2.71429,24.8,94.9,101.2,0.0,27,23.8,1.6
2022-07-22 00:17:12,27.6375,74.2718,0.0,0.0,0.0,0.0,0.0,79.0,2.73143,23.2,95.5,101.2,0.0,39,22.4,1.3
2022-07-22 02:27:12,27.4462,74.7053,0.0,0.0,0.0,0.0,0.0,49.0,2.72,23.1,94.0,101.2,0.0,34,21.9,1.7
2022-07-22 04:37:12,27.4663,75.7924,0.0,0.0,0.0,0.0,0.0,244.0,2.72571,22.9,98.1,101.2,0.0,49,22.4,0.5
2022-07-22 06:47:12,27.7483,77.8321,330.0,470.0,274.0,1027.0,408.0,825.0,2.72571,24.3,95.1,101.2,4.1,30,23.4,1.5
2022-07-22 07:03:49,28.3425,77.7221,762.0,965.0,509.0,2027.0,1115.0,504.0,2.72,25.6,93.5,101.2,7.8,15,24.4,2.1
